CustomerKey;CountryCode;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;TotalChildren;EnglishEducation;EnglishOccupation;HouseOwnerFlag;NumberCarsOwned
11048;BHS;Jeremy;Powell;01.05.1956;M;M;30000;3;High School;Skilled Manual;1;2
11049;STP;Carol;Rai;01.01.1986;S;F;40000;0;Partial High School;Clerical;1;2
11050;VUT;Alan;Zheng;01.03.1957;M;M;30000;3;High School;Skilled Manual;1;2
11051;POL;Daniel;Johnson;01.01.1957;S;M;30000;3;High School;Skilled Manual;0;2
11052;PRY;Heidi;Lopez;01.02.1957;S;F;40000;2;Partial College;Clerical;0;2
11053;KNA;Ana;Price;01.02.1986;M;F;60000;0;Partial College;Skilled Manual;0;2
11054;GRL;Deanna;Munoz;01.09.1957;M;F;40000;2;Partial College;Skilled Manual;1;2
11055;CHE;Gilbert;Raje;01.09.1957;M;M;40000;2;Partial College;Skilled Manual;1;2
11056;AZE;Michele;Nath;01.10.1958;M;F;40000;3;Partial College;Skilled Manual;1;2
11057;CCK;Carl;Andersen;01.04.1970;M;M;70000;2;Graduate Degree;Management;1;2
11058;BWA;Marc;Diaz;01.04.1965;M;M;80000;2;Partial College;Skilled Manual;1;2
11059;ASM;Ashlee;Andersen;01.09.1959;S;F;80000;2;Partial College;Skilled Manual;1;2
11060;BHS;Jon;Zhou;01.09.1959;M;M;80000;2;Partial College;Skilled Manual;1;2
11061;PAK;Todd;Gao;01.02.1976;M;M;80000;2;Partial College;Skilled Manual;1;2
11062;DZA;Noah;Powell;01.03.1981;M;M;40000;0;High School;Skilled Manual;1;2
11063;SVK;Angela;Murphy;01.10.1980;S;F;40000;0;High School;Skilled Manual;1;2
11064;UMI;Chase;Reed;01.06.1981;M;M;40000;0;High School;Skilled Manual;1;2
11065;BOL;Jessica;Henderson;01.04.1979;M;F;60000;0;Partial College;Skilled Manual;0;2
11066;KEN;Grace;Butler;01.05.1979;M;F;70000;0;Partial College;Professional;1;2
11067;BHS;Caleb;Carter;01.03.1982;S;M;60000;0;Partial College;Professional;1;2
11068;FRA;Tiffany;Liang;01.09.1966;S;F;80000;2;High School;Skilled Manual;1;2
11069;GMB;Carolyn;Navarro;01.09.1966;S;F;80000;2;High School;Skilled Manual;0;2
11070;SGS;Willie;Raji;01.10.1960;M;M;80000;2;High School;Skilled Manual;1;2
11071;NOR;Linda;Serrano;01.12.1960;S;F;80000;2;High School;Skilled Manual;1;2
11072;PRK;Casey;Luo;01.08.1960;S;F;80000;2;High School;Skilled Manual;0;2
11073;ATF;Amy;Ye;01.02.1962;S;F;70000;2;High School;Skilled Manual;1;2
11074;MSR;Levi;Arun;01.02.1962;S;M;70000;2;High School;Skilled Manual;1;2
11075;TKM;Felicia;Jimenez;01.05.1963;S;F;80000;2;High School;Professional;1;2
11076;IOT;Blake;Anderson;01.01.1963;S;M;80000;2;High School;Professional;1;2
11077;GBR;Leah;Ye;01.03.1963;S;F;80000;2;High School;Professional;0;2
11078;ZWE;Gina;Martin;01.01.1985;S;F;40000;0;High School;Professional;0;2
11079;CMR;Donald;Gonzalez;01.03.1970;S;M;160000;0;Graduate Degree;Management;1;2
11080;DNK;Damien;Chander;01.01.1965;M;M;170000;0;Graduate Degree;Management;1;2
11081;MUS;Savannah;Baker;01.01.1972;M;F;120000;2;Bachelors;Management;1;3
11082;ESP;Angela;Butler;01.02.1972;S;F;130000;0;Graduate Degree;Management;0;3
11083;KHM;Alyssa;Cox;01.03.1977;M;F;130000;0;Graduate Degree;Management;1;3
11084;VNM;Lucas;Phillips;01.03.1963;S;M;80000;2;Partial High School;Skilled Manual;0;2
11085;BGD;Emily;Johnson;01.01.1963;S;F;60000;2;High School;Professional;0;2
11086;RWA;Ryan;Brown;01.06.1963;M;M;70000;2;Partial College;Professional;1;0
11087;LAO;Tamara;Liang;01.04.1963;M;F;70000;3;Partial College;Professional;0;0
11088;PRY;Hunter;Davis;01.05.1963;M;M;80000;2;Bachelors;Management;1;0
11089;VEN;Abigail;Price;01.08.1962;S;F;80000;2;Bachelors;Management;1;1
11090;KNA;Trevor;Bryant;01.12.1968;S;M;90000;2;Partial College;Professional;1;1
11091;SVK;Dalton;Perez;01.10.1962;M;M;90000;2;Partial College;Professional;1;1
11092;SJM;Cheryl;Diaz;01.11.1972;M;F;90000;2;Bachelors;Professional;1;0
11093;SVN;Aimee;He;01.09.1978;M;F;100000;0;Graduate Degree;Management;1;0
11094;ECU;Cedric;Ma;01.09.1967;S;M;70000;1;Partial College;Skilled Manual;0;1
11095;ATG;Chad;Kumar;01.02.1968;S;M;70000;1;Partial College;Skilled Manual;1;1
11096;SYR;Andr‚s;Anand;01.02.1968;M;M;60000;1;Bachelors;Professional;1;1
11097;POL;Edwin;Nara;01.10.1972;M;M;60000;1;Partial College;Skilled Manual;1;1
11098;GRL;Mallory;Rubio;01.10.1966;S;F;60000;1;Partial College;Skilled Manual;0;1
11099;GUM;Adam;Ross;01.09.1966;M;M;60000;1;Bachelors;Professional;1;1
11100;BHS;Latasha;Navarro;01.03.1966;S;F;60000;1;Partial College;Skilled Manual;1;1
11101;DJI;Abby;Sai;01.11.1970;S;F;70000;0;Bachelors;Professional;0;1
11102;GBR;Julia;Nelson;01.10.1970;S;F;80000;5;Bachelors;Professional;1;4
11103;ZMB;Cassie;Chande;01.04.1981;S;F;70000;0;Bachelors;Professional;1;1
11104;IOT;Edgar;Sara;01.03.1975;M;M;70000;0;Bachelors;Professional;0;1
11105;AFG;Candace;Fernandez;01.06.1970;S;F;70000;0;Bachelors;Professional;0;1
11106;MDA;Jessie;Liu;01.03.1970;S;M;70000;0;Bachelors;Professional;0;1
11107;IRL;Bianca;Lin;01.03.1976;M;F;90000;1;Bachelors;Professional;1;1
11108;LVA;Kari;Alvarez;01.01.1969;S;F;70000;0;Bachelors;Professional;0;2
11109;KIR;Ruben;Kapoor;01.04.1980;S;M;70000;0;Bachelors;Professional;0;2
11110;MSR;Curtis;Yang;01.12.1967;M;M;60000;1;Partial College;Skilled Manual;1;1
11111;ISR;Meredith;Gutierrez;01.08.1967;M;F;60000;1;Partial College;Skilled Manual;1;1
11112;NIU;Crystal;Wang;01.03.1968;M;F;60000;1;Partial College;Skilled Manual;1;1
11113;NGA;Micheal;Blanco;01.02.1973;M;M;70000;5;Bachelors;Professional;1;2
11114;TUR;Leslie;Moreno;01.11.1967;S;F;70000;5;Partial College;Skilled Manual;1;2
11115;TGO;Alvin;Cai;01.08.1967;M;M;70000;5;Partial College;Skilled Manual;1;2
11116;ATG;Clinton;Carlson;01.04.1979;M;M;70000;5;Partial College;Skilled Manual;1;2
11117;HMD;April;Deng;01.08.1966;M;F;70000;5;Partial College;Skilled Manual;1;3
11118;NIU;Alvin;Zeng;01.12.1962;S;M;80000;1;Partial College;Skilled Manual;0;1
11119;IRN;Evan;James;01.10.1940;S;M;30000;2;Partial College;Clerical;0;2
11120;PSE;Beth;Jim‚nez;01.02.1942;S;F;40000;2;Bachelors;Management;1;1
11121;KGZ;Orlando;Suarez;01.05.1966;M;M;70000;5;Partial College;Skilled Manual;1;3
11122;NRU;Byron;Vazquez;01.09.1965;M;M;70000;5;Partial College;Skilled Manual;1;3
11123;TUR;Philip;Alvarez;01.12.1965;M;M;70000;5;Partial College;Skilled Manual;1;3
11124;TTO;Ross;Jordan;01.07.1968;S;M;80000;1;Partial College;Skilled Manual;1;1
11125;LAO;Dana;Navarro;01.10.1961;S;F;70000;1;Partial College;Skilled Manual;1;1
11126;PYF;Shaun;Carson;01.10.1954;M;M;10000;2;High School;Skilled Manual;0;2
11127;SWE;Jan;Edwards;01.04.1981;M;F;40000;0;High School;Skilled Manual;1;1
11128;GHA;Samantha;Long;01.06.1981;M;F;40000;0;High School;Skilled Manual;1;1
11129;BLZ;Julia;Wright;01.02.1981;S;F;40000;0;High School;Skilled Manual;1;1
11130;CYP;Caroline;Russell;01.07.1985;M;F;30000;0;High School;Skilled Manual;1;2
11131;MAC;Amanda;Rivera;01.09.1985;M;F;30000;0;High School;Skilled Manual;0;2
11132;ATG;Melissa;Richardson;01.04.1986;S;F;30000;0;High School;Skilled Manual;0;2
11133;LSO;Angela;Griffin;01.03.1986;S;F;30000;0;Partial High School;Clerical;0;2
11134;GIN;Larry;Townsend;01.02.1957;S;M;10000;5;High School;Skilled Manual;1;2
11135;ECU;Marcus;Harris;01.05.1985;S;M;30000;0;Partial High School;Clerical;0;2
11136;FRO;Brianna;Morgan;01.04.1984;S;F;40000;0;High School;Skilled Manual;0;2
11137;VAT;Jasmine;Taylor;01.01.1984;M;F;40000;0;High School;Skilled Manual;1;2
11138;VNM;Lauren;Davis;01.03.1984;M;F;40000;0;High School;Skilled Manual;0;2
11139;GRL;Tanya;Moreno;01.11.1949;S;F;30000;2;Partial College;Clerical;0;2
11140;SXM;Javier;Alvarez;01.08.1982;S;M;30000;0;Partial High School;Clerical;0;2
11141;SLV;Nicole;Ramirez;01.12.1982;M;F;40000;0;High School;Skilled Manual;0;2
11142;EGY;Eduardo;Patterson;01.02.1983;S;M;40000;0;High School;Skilled Manual;0;2
11143;ATG;Jonathan;Henderson;01.08.1982;M;M;40000;0;High School;Skilled Manual;1;2
11144;KNA;Edward;Hernandez;01.03.1985;S;M;40000;0;High School;Skilled Manual;0;2
11145;TKL;Jasmine;Coleman;01.06.1985;S;F;40000;0;High School;Skilled Manual;0;2
11146;SLB;Karla;Goel;01.02.1945;S;F;40000;2;Bachelors;Management;1;2
11147;BHR;Ernest;Wu;01.08.1944;M;M;60000;2;Graduate Degree;Management;1;1
11148;VUT;Ross;Vazquez;01.02.1947;M;M;40000;2;Bachelors;Management;1;2
11149;ARE;Theodore;Gill;01.10.1946;M;M;40000;2;Bachelors;Management;1;2
11150;VUT;Russell;Shen;01.09.1946;S;M;40000;2;Bachelors;Management;1;2
11151;ARG;Melinda;Gill;01.08.1947;S;F;60000;2;Graduate Degree;Management;0;1
11152;PYF;James;Williams;01.07.1981;S;M;40000;0;High School;Skilled Manual;1;2
11153;SGS;Angela;James;01.12.1981;M;F;40000;0;High School;Skilled Manual;1;2
11154;ZWE;Megan;Walker;01.02.1982;S;F;40000;0;Partial College;Skilled Manual;1;1
11155;UKR;Hunter;Robinson;01.07.1981;S;M;40000;0;Partial College;Skilled Manual;0;1
11156;ESP;Maria;Roberts;01.08.1981;S;F;40000;0;Partial College;Skilled Manual;0;1
11157;SSD;Hannah;Long;01.12.1980;M;F;40000;0;High School;Skilled Manual;1;2
11158;MNE;Jason;Wright;01.04.1981;S;M;40000;0;High School;Skilled Manual;1;2
11159;EST;Brianna;Hughes;01.03.1981;S;F;40000;0;High School;Skilled Manual;0;2
11160;CAN;Maurice;Tang;01.07.1979;S;M;40000;0;Partial College;Skilled Manual;0;1
11161;GUY;Emily;Wood;01.10.1979;S;F;40000;0;Partial College;Skilled Manual;0;1
11162;TKL;Chase;Cox;01.09.1979;S;M;40000;0;Partial College;Skilled Manual;1;1
11163;GNB;Gabriel;Wang;01.06.1980;M;M;40000;0;Partial College;Skilled Manual;1;1
11164;COM;Devin;Brooks;01.11.1979;S;M;40000;0;Partial College;Skilled Manual;0;1
11165;GEO;Jocelyn;Alexander;01.01.1979;M;F;60000;0;Partial College;Skilled Manual;0;1
11166;CHN;Ashley;Martinez;01.10.1977;S;F;70000;0;Partial College;Skilled Manual;0;2
11167;CRI;Jasmine;Barnes;01.01.1978;S;F;80000;0;Bachelors;Management;0;1
11168;MSR;David;Rodriguez;01.11.1973;S;M;80000;0;Bachelors;Management;0;1
11169;LTU;Bryce;Richardson;01.12.1973;M;M;90000;4;Bachelors;Management;1;1
11170;AUS;Carol;Howard;01.08.1973;M;F;90000;4;Bachelors;Management;1;1
11171;USA;Jonathan;Hill;01.10.1978;S;M;100000;1;Bachelors;Management;1;2
11172;LBY;Gabrielle;Adams;01.05.1973;M;F;100000;1;Bachelors;Management;1;2
11173;BEL;Sarah;Thomas;01.02.1973;S;F;110000;0;Graduate Degree;Management;0;4
11174;VGB;Nicholas;Robinson;01.01.1973;M;M;110000;0;Graduate Degree;Management;1;0
11175;SLE;Luis;Wang;01.09.1968;S;M;70000;0;Partial College;Skilled Manual;1;2
11176;IRN;Mason;Roberts;01.01.1979;M;M;90000;4;Bachelors;Management;1;1
11177;BMU;Jose;Flores;01.01.1948;M;M;110000;2;Graduate Degree;Management;1;2
11178;VGB;Nathan;Johnson;01.08.1954;M;M;100000;2;Graduate Degree;Management;1;3
11179;BWA;Molly;Rodriguez;01.12.1959;M;F;120000;2;Graduate Degree;Management;1;3
11180;BES;April;Anand;01.07.1948;M;F;160000;1;Bachelors;Management;1;4
11181;POL;Devin;Martin;01.02.1960;M;M;170000;2;Graduate Degree;Management;1;2
11182;BLR;Stephanie;Torres;01.02.1950;S;F;70000;4;Bachelors;Management;1;2
11183;PRK;Jasmine;Lee;01.01.1950;S;F;70000;4;Bachelors;Management;1;2
11184;GUY;Meghan;Hernandez;01.11.1955;S;F;70000;4;Bachelors;Management;1;2
11185;BWA;Ashley;Henderson;01.04.1950;S;F;70000;4;Bachelors;Management;1;2
11186;FRA;Sarah;Price;01.11.1949;S;F;70000;4;Bachelors;Management;1;2
11187;LBR;Jennifer;Cooper;01.08.1949;M;F;60000;4;Graduate Degree;Management;1;2
11188;BEN;Catherine;Morris;01.03.1950;M;F;60000;4;Graduate Degree;Management;0;2
11189;DJI;Lawrence;Blanco;01.01.1950;S;M;60000;4;Graduate Degree;Management;1;2
11190;PYF;Carson;Bryant;01.12.1949;M;M;70000;5;Bachelors;Management;1;2
11191;REU;Kristi;Perez;01.06.1951;S;F;70000;5;Bachelors;Management;1;3
11192;MLT;James;Brown;01.03.1951;M;M;60000;4;Bachelors;Management;1;2
11193;LTU;Ian;Gray;01.08.1950;M;M;60000;4;Bachelors;Management;1;2
11194;VUT;Jacqueline;Price;01.12.1950;M;F;60000;4;Bachelors;Management;1;2
11195;MNP;Megan;Henderson;01.08.1951;M;F;60000;5;Bachelors;Management;1;3
11196;LKA;Alfredo;Romero;01.12.1951;M;M;60000;5;Bachelors;Management;1;3
11197;PRT;Andrea;Morris;01.12.1951;M;F;70000;3;Bachelors;Management;0;1
11198;GNQ;Brooke;Sanders;01.05.1952;S;F;70000;4;Bachelors;Management;1;1
11199;SWZ;Jacqueline;Bennett;01.11.1957;M;F;70000;4;Bachelors;Management;1;1
11200;DEU;Jason;Griffin;01.05.1953;M;M;70000;4;Bachelors;Management;1;1
11201;PLW;Amanda;Foster;01.02.1953;M;F;70000;4;Bachelors;Management;1;1
11202;TUV;Alexia;Price;01.08.1958;M;F;80000;5;Bachelors;Management;0;2
11203;LBN;Luis;Diaz;01.08.1959;M;M;40000;2;High School;Professional;1;2
11204;MOZ;Destiny;Rivera;01.11.1953;M;F;40000;2;High School;Professional;1;2
11205;SLB;Abby;Fernandez;01.01.1954;M;F;40000;2;High School;Professional;1;2
11206;TJK;Blake;Flores;01.03.1954;M;M;60000;2;Partial College;Professional;1;1
11207;AIA;Danielle;Cox;01.01.1954;S;F;60000;2;Partial College;Professional;1;1
11208;GHA;Maria;Reed;01.08.1953;M;F;60000;2;Bachelors;Management;1;0
11209;LBY;Allison;Evans;01.07.1953;M;F;60000;2;Bachelors;Management;1;0
11210;ZWE;Edward;Wood;01.12.1953;M;M;70000;4;Partial College;Professional;1;2
11211;WLF;Samantha;Russell;01.10.1960;M;F;40000;2;High School;Professional;1;2
11212;TZA;Chloe;Campbell;01.05.1955;M;F;40000;2;High School;Professional;1;2
11213;SMR;Stephanie;Murphy;01.11.1954;S;F;60000;2;Partial College;Professional;1;2
11214;CMR;Charles;Miller;01.05.1955;S;M;60000;2;Partial College;Professional;1;2
11215;KHM;Ana;Perry;01.06.1961;M;F;40000;2;Partial High School;Skilled Manual;1;2
11216;LTU;Jasmine;Torres;01.11.1955;S;F;60000;2;Partial College;Professional;1;2
11217;EST;Natalie;Adams;01.08.1955;S;F;60000;2;Partial College;Professional;1;2
11218;BES;Olivia;Brown;01.09.1961;S;F;60000;2;Partial College;Professional;0;2
11219;PSE;Charles;Cook;01.05.1956;M;M;60000;2;High School;Professional;1;2
11220;SVK;Erica;Huang;01.02.1961;M;F;60000;2;Partial College;Professional;1;1
11221;WLF;Nathan;Perry;01.12.1955;M;M;70000;4;Partial College;Professional;1;1
11222;FJI;Alexandra;Rivera;01.02.1956;M;F;80000;3;Bachelors;Management;1;1
11223;NIU;Hailey;Patterson;01.03.1957;S;F;70000;2;High School;Professional;1;2
11224;USA;Tiffany;Li;01.03.1957;S;F;70000;2;High School;Professional;1;2
11225;AZE;Madison;Lee;01.02.1962;M;F;60000;2;Partial College;Professional;1;1
11226;SYC;Sydney;Ross;01.09.1962;M;F;60000;2;Partial College;Professional;1;1
11227;SJM;Marshall;Chavez;01.08.1962;S;M;60000;2;Partial College;Professional;1;2
11228;ZWE;Ashley;Jones;01.10.1956;M;F;60000;2;Partial College;Professional;1;2
11229;SGP;Adrian;Stewart;01.06.1957;S;M;70000;4;Partial College;Professional;1;1
11230;SOM;Amber;Turner;01.09.1956;M;F;70000;4;Partial College;Professional;0;2
11231;MLT;Dennis;Zhang;01.11.1963;M;M;60000;2;High School;Professional;1;2
11232;SMR;Hailey;Bryant;01.03.1958;M;F;60000;3;High School;Professional;0;2
11233;UMI;Todd;Li;01.09.1963;M;M;70000;4;Partial College;Professional;1;2
11234;ESP;Anna;Griffin;01.05.1958;S;F;70000;4;Partial College;Professional;1;2
11235;YEM;Angel;Stewart;01.08.1957;M;M;70000;4;Partial College;Professional;1;2
11236;BGD;Jeremy;Butler;01.09.1957;S;M;70000;5;Partial College;Professional;1;2
11237;CRI;Clarence;Anand;01.03.1964;S;M;130000;2;Bachelors;Management;0;4
11238;BMU;Mayra;Prasad;01.02.1964;S;F;130000;2;Bachelors;Management;0;4
11239;RWA;Latoya;Goel;01.10.1969;M;F;130000;2;Partial College;Professional;0;2
11240;VCT;Anne;Hernandez;01.06.1964;M;F;160000;2;Partial College;Professional;1;4
11241;SVK;Lisa;Cai;01.04.1974;S;F;100000;2;Partial College;Professional;1;4
11242;SVK;Larry;Munoz;01.05.1963;M;M;110000;2;Partial College;Professional;1;3
11243;GUY;Robin;Alvarez;01.04.1963;M;F;150000;2;Partial College;Professional;1;3
11244;NGA;Alexis;Coleman;01.11.1968;S;F;170000;2;Bachelors;Management;0;3
11245;BRA;Ricky;Vazquez;01.04.1962;M;M;120000;3;High School;Professional;0;4
11246;GUF;Latasha;Rubio;01.04.1962;M;F;120000;3;High School;Professional;0;4
11247;GRD;Claudia;Zhou;01.12.1961;S;F;130000;3;Partial College;Professional;0;3
11248;BTN;Tristan;Alexander;01.03.1966;M;M;110000;3;Partial College;Professional;1;4
11249;HKG;Cindy;Patel;01.07.1966;M;F;130000;3;Partial College;Professional;1;3
11250;MRT;Shannon;Liu;01.03.1966;M;F;170000;3;High School;Professional;1;2
11251;NOR;Xavier;Long;01.01.1938;S;M;30000;4;High School;Professional;0;2
11252;OMN;Nicholas;Thompson;01.12.1937;S;M;90000;3;Graduate Degree;Management;1;1
11253;TCA;Jos‚;Hernandez;01.08.1949;M;M;60000;2;Graduate Degree;Management;1;2
11254;PAN;Johnathan;Vance;01.08.1938;M;M;70000;4;Graduate Degree;Management;1;2
11255;NZL;Colin;Lin;01.10.1938;M;M;70000;4;Graduate Degree;Management;1;2
11256;AFG;Katelyn;Hernandez;01.03.1939;M;F;70000;4;Graduate Degree;Management;1;2
11257;ESH;Jacqueline;Powell;01.07.1938;S;F;120000;1;Graduate Degree;Management;1;4
11258;BGD;Xavier;Hill;01.12.1938;M;M;120000;1;Graduate Degree;Management;1;4
11259;AUT;Victoria;Stewart;01.09.1970;M;F;100000;4;Partial College;Professional;1;4
11260;FIN;Katelyn;Kelly;01.04.1976;M;F;110000;2;Bachelors;Management;1;3
11261;UMI;Stephanie;Collins;01.10.1970;M;F;130000;1;Graduate Degree;Management;1;1
11262;CAN;Jennifer;Simmons;01.05.1975;M;F;80000;4;Bachelors;Management;1;0
11263;SXM;Trinity;Richardson;01.03.1970;M;F;90000;5;Partial College;Professional;1;3
11264;CHN;Eduardo;Martin;01.12.1969;S;M;90000;5;Partial College;Professional;0;3
11265;CUB;Elizabeth;Jones;01.01.1970;M;F;90000;5;Partial College;Professional;1;3
11266;ROU;Taylor;Howard;01.11.1969;S;F;90000;0;Partial College;Professional;0;1
11267;HKG;David;Diaz;01.09.1975;S;M;120000;4;Partial College;Professional;1;4
11268;DZA;Katelyn;Carter;01.10.1969;M;F;130000;2;Graduate Degree;Management;1;2
11269;TCD;Ryan;Foster;01.10.1975;M;M;130000;2;Graduate Degree;Management;1;2
11270;SSD;Robert;Lee;01.05.1975;M;M;130000;2;Graduate Degree;Management;1;3
11271;ASM;Danielle;Reed;01.12.1969;S;F;150000;2;Bachelors;Management;0;4
11272;NRU;Lauren;Martinez;01.05.1962;S;F;70000;4;Partial College;Professional;1;0
11273;IND;Nathan;Lal;01.03.1962;M;M;90000;2;Partial College;Professional;1;0
11274;MDA;Kyle;Foster;01.10.1939;M;M;50000;2;Graduate Degree;Management;1;2
11275;BIH;Jenny;Rai;01.07.1939;M;F;80000;4;Graduate Degree;Management;1;2
11276;MYS;Nancy;Chapman;01.09.1974;M;F;80000;4;Partial College;Professional;1;2
11277;HTI;Charles;Jackson;01.12.1968;M;M;80000;4;Partial College;Professional;1;2
11278;SSD;Jonathan;Phillips;01.02.1969;S;M;90000;0;Partial College;Professional;0;1
11279;EGY;Amanda;Cook;01.09.1974;M;F;90000;0;Partial College;Professional;1;1
11280;NER;Robert;Collins;01.02.1969;M;M;90000;0;Partial College;Professional;1;1
11281;ROU;Megan;Barnes;01.10.1974;S;F;110000;4;Bachelors;Management;1;4
11282;BRB;Christian;Thomas;01.07.1967;M;M;90000;5;Partial College;Professional;1;4
11283;KWT;Arturo;Lal;01.04.1968;M;M;110000;1;Bachelors;Management;1;2
11284;SWZ;Theresa;Serrano;01.09.1967;M;F;110000;1;Bachelors;Management;1;2
11285;JEY;Jeremy;Anderson;01.03.1973;M;M;120000;1;Partial College;Professional;0;4
11286;YEM;Hunter;Griffin;01.08.1967;M;M;170000;0;Graduate Degree;Management;1;4
11287;COK;Henry;Garcia;01.07.1966;M;M;70000;5;Partial College;Professional;0;3
11288;AND;Cindy;Sanchez;01.03.1978;M;F;110000;1;Bachelors;Management;1;3
11289;FSM;Maria;Carter;01.03.1972;M;F;130000;1;Bachelors;Management;1;1
11290;SLV;Katelyn;Sanchez;01.08.1972;M;F;130000;1;Bachelors;Management;1;3
11291;VUT;Jenna;Wright;01.05.1972;M;F;130000;1;Bachelors;Management;1;3
11292;AUT;Seth;Phillips;01.05.1967;S;M;150000;1;Partial College;Professional;0;3
11293;PHL;Luke;Long;01.11.1960;S;M;60000;2;High School;Professional;0;2
11294;NER;Dalton;Clark;01.03.1961;M;M;60000;2;High School;Professional;0;2
11295;AGO;Taylor;Lewis;01.11.1959;S;F;80000;2;Partial High School;Skilled Manual;1;2
